"folder";"image";"j_text";"e_text"
"CHR_BD2";"0014886784_j";"全国制覇モ一ド
制覇
戦
勝
敗
五光
回
四光
回
三光
回
雨四光
回
猪鹿蝶
回
花見酒
回
月見酒
回
赤短
回
青短
回
評価";"Championship Mode
Conquered
Played
Won
Lost
Five Brights
Times
Four Brights
Times
Three Brights
Times
Rainy Four Brights
Times
Boar-Deer-Butterfly
Times
Flower Viewing
Times
Moon Viewing
Times
Poetry Ribbons
Times
Blue Ribbons
Times
Rank:"
"CHR_BD2";"0015174784_j";"おいちょかぶ
花合わせ
こいこい
全国制覇
花合わせ
全国制覇
おいちょかぶ
こいこい";"Oicho-Kabu
Hana-Awase
Koi-Koi
Championship
Hana-Awase
Championship
Oicho-Kabu
Koi-Koi"
"CHR_BD2";"0015241600_j";"一級
六級
二級
七級
三級
初段
四級
二段
五級
三段";"1 Kyu
6 Kyu
2 Kyu
7 Kyu
3 Kyu
1 Dan
4 Kyu
2 Dan
5 Kyu
3 Dan"
"CHR_BD2";"0015308416_j";"四段
五段
六段
七段";"4 Dan
5 Dan
6 Dan
7 Dan"
"CHR_BD2";"0015375232_j";"北海道地区代表
東北地区代表
北関東地区代表
南関東地区代表
甲信越地区代表
東海地区代表
北陸地区代表
近畿地区代表";"Hokkaido region representative
Tohoku region representative
North Kanto region representative
South Kanto region representative
Koshin'etsu region representative
Tokai region representative
Hokuriku region representative
Kinki region representative"
"CHR_BD2";"0015442048_j";"中国地区代表
四国地区代表
九州地区代表
沖縄地区代表";"Chugoku region representative
Shikoku region representative
Kyushu region representative
Okinawa region representative"
"CHR_BD2";"0015797568_j";"""SuperLite 2000 テーブル 花札""の
データの作成に失敗しました。
はい
いいえ";"Failed to create data for
""SuperLite 2000 Table Hanafuda"".
Yes
No"
"CHR_BD2";"0015864384_j";"メモリーカード(PS2)がメモリーカード差込口1に差ちっていません。
このゲームをセーブするには162KB以上の
空き容量のあるメモリーカード(PS2) が必要です。
このままゲームを開始しますか?";"There is no memory card (PS2) in memory card slot 1.
To save data a memory card
with at least 162 KB of free space is required.
Start the game anyway?"
"CHR_BD2";"0016152384_j";"メモリーカード差込口1に差さっている
メモリーカード(PS2)の空き容量が不足しています。
このゲームをセーブするには162KB以上の
空き容量のあるメモリーカード(PS2)が必要です。
このままゲームを開始しますか?";"There is not enough free space
on a memory card (PS2) in memory card slot 1.
To save data a memory card
with at least 162 KB of free space is required.
Start the game anyway?"
"CHR_BD2";"0016440384_j";"""SuperLite 2000 テーブル 花札""のデータが
壊れている可能性があります。
ゲーム中でセーブを実行するには、
壊れたデータをブラウザ上で削除しておく必要があります。
このままゲームを開始しますか?";"The data for ""SuperLite 2000 Table Hanafuda""
may be corrupted.
To save in-game, you must delete
the corrupted data in the BIOS first.
Start the game anyway?"
"CHR_BD2";"0016730240_j";"メモリ一カ一ド(PS2)が
メモリーカード差込口1差さっていません。
メモリ一カ一ド(PS2)をチェックしています。
メモリ一カ一ド(PS2)を抜き差ししたり、
本体の電源を切らないでください。
";"There is no memory card (PS2)
In memory card slot 1.
Now checking memory card (PS2).
Do not remove memory cards
or turn off the console."
"CHR_BD2";"0016993664_j";"メモリ一カ一ド(PS2)が
フォーマットされていません。
フォーマット甲です。
メモリ一カ一ド(PS2)を抜き差ししたり、
本体の電源を切らないでください。";"Memory card (PS2)
is not formatted.
Formatting in progress.
Do not remove memory cards
or turn off the console."
"CHR_BD2";"0017257088_j";"フォーマットが終了しました。
フォーマットに失敗しました。";"Formatting complete.
Formatting failed."
"CHR_BD2";"0017520512_j";"""SuperLite 2000 テーブル 花札""の
データが壊れている可能性があります。
セ一ブ中です。
メモリ一カ一ド(PS2)を抜き差ししたり、
本体の電源を切らないでください。";"The data for ""SuperLite 2000 Table
Hanafuda"" may be corrupted.
Saving in progress.
Do not remove memory cards
or turn off the consoole."
"CHR_BD2";"0017783936_j";"セーブに失敗しました。
ロ一ド中です。
メモリ一カ一ド(PS2)を抜き差ししたり、
本体の電源を切らないでください。";"Failed to save.
Loading in progress.
Do not remove memory cards
or turn off the consoole."
"CHR_BD2";"0018047360_j";"ロ一ドが終了しました。
ロ一ドに失敗しました。";"Loading succesfull.
Failed to load."
"CHR_BD2";"0018310784_j";"""SuperLite 2000 テーブル 花札""の
データがありません。
""SuperLite 2000 テーブル 花札""の
データをセーブするにめの空き容量が
不足しています。
162KB以上の空き容量が必要です。";"There is no save data for
""SuperLite 2000 Table Hanafudda"".
There is not enough free space
to save data for
""SuperLite 2000 Table Hanafuda"".
At least 162 KB is required."
"CHR_BD2";"0018575488_j";"""SuperLite 2000 テーブル 花札""の
データを作成中です。
メモリ一カ一ド(PS2)を抜き差ししたり、
本体の電源を切らないでください。
""SuperLite 2000 テーブル 花札""の
データを作成しました。";"Creating save data for
""SuperLite 2000 Table Hanafuda"".
Do not remove memory cards
or turn off the console.
Created data succesfully.
"
"CHR_BD2";"0018838912_j";"""SuperLite 2000 テーブル 花札""の
データを作成に失敗しました。
フォーマットしますか?";"Failed to create data.

Format memory card?"
"CHR_BD2";"0019102336_j";"セーブしますか?
メモリ一カ一ド(PS2)に
""SuperLite 2000 テーブル 花札""の
データが存在しています。
上書きしますか?";"Save data?
Save data already exists for
""SuperLite 2000 Table Hanafuda"".

Overwrite it?"
"CHR_BD2";"0019365760_j";"""SuperLite 2000 テーブル 花札""のデータを
作成してもよろしいですか?
フリー対戦を続行しますか?";"Create save data for
""SuperLite 2000 Table Hanafuda""?
Continue playing free mode?"
"CHR_BD2";"0019629184_j";"ロ一ドしますか?
セーブしました。";"Load data?
Saved succesfully."
"CHR_BD2";"0019892608_j";"セーブをしないでゲームを進めます。
よろしいですか?
全国制覇モ一ドを続行しますか?";"Continue without saving?

Continue playing championship mode?"
"CHR_BD2";"0020157696_j";"制覇";"Conquered"
"CHR_BD2";"0020226176_j";"ゲームを選択してください";"Select Game"
"CHR_BD2";"0020514176_j";"こいこい
花合わせ";"Koi-Koi
Hana-Awase"
"CHR_BD2";;"おいちょかぶ";"Oicho-Kabu"
"CHR_BD2";"0020647808_j - 0020714624_j";"同じ種類の絵札を合わせて集めた札で、
役をつくって争います。
同じ種類の絵札を合わせて
集めた札の点数と完成した役の合計で勝負します。
絵扎の季節ごとに1から10の点をつけ、
2~3枚の合計を""9""(かぶ)に近づけたほうが
勝ちという遊びです。";"Players compete to capture cards from the table
and form scoring combinations known as yaku.
Players compete to capture cards from the table
and get points based on values of captured cards,
with bonus points awarded for forming certain combinations.
Each card is given the value of its month 1 through 10
player who gets the total value of 2~3 cards
closer to the 9 (titular ""Kabu"") wins."
"CHR_BD2";"0020781440_j";"こいこい設定
回
回
無し
文
文
あり
無し";"Koi-Koi Options


NONE
Pts
Pts
ON
OFF"
"CHR_BD2";"0021069440_j";"対戦回数
無し
花見/目見酒
文
親権
文
回
回
あり";"NUMBER OF ROUNDS
NONE
FLOWER/MOON VIEWING
Pts
DEALER'S PRIVILEGE
Pts


ON"
"CHR_BD2";"0021136256_j";"無し
開始";"OFF
Start"
"CHR_BD2";"0021203072_j";"花合わせ設定
回
回";"Hana-Awase Options

"
"CHR_BD2";"0021491072_j";"対戦回数
回
回
開始";"NUMBER OF ROUNDS


Start"
"CHR_BD2";"0021557888_j";"おいちょかぶ設定
回
回
無制限
無制限
";"Oicho-Kabu Options


NO-LIMIT
NO-LIMIT"
"CHR_BD2";"0021845888_j";"対戦回数
胴前
持点
無制限
回
回
無制限";"NUMBER OF ROUNDS
MAX BET
FUNDS
NO-LIMIT


NO-LIMIT"
"CHR_BD2";"0021912704_j";"開始";"Start"
"CHR_BD2";"0023133568_j";"フリー対戦
全国制覇モ一ド
設定
はじめから
つづきから
ゲームを続ける";"Free Mode
Championship Mode
Options
New Game
Load Data
Resume Game"
"CHR_BD2";"0024090752_j";"勝利 
あなた
あなたは勝利しました";"Victory
Player
You have won this match."
"CHR_BD2";"0024378752_j";"北海道地区
東北地区
北関東地区
南関東地区";"Hokkaido
Tohoku
North Kanto
South Kanto"
"CHR_BD2";"0024445568_j";"甲信越地区
東海地区
北陸地区
近畿地区";"Koshin'etsu
Tokai
Hokuriku
Kinki"
"CHR_BD2";"0024512384_j";"中国地区
四国地区
九州地区
沖縄地区";"Chugoku
Shikoku
Kyushu
Okinawa"
"CHR_BD2";"0024579200_j";"あと1勝で制覇
あと2勝で制覇
あと3勝で制覇
あと4勝で制覇
あと5勝で制覇";"1 victory to conquer.
2 victories to conquer.
3 victories to conquer.
4 victories to conquer.
5 victories to conquer."
"CHR_BD2";"0024646016_j";"制覇
あなた
地区を制覇しました";"Conquered
Player
You have taken over the region."
"CHR_BD2";"0025301184_j";"自分の地域を選んでください
全国制覇モ一ド";"Select the region you want to represent.
National Championship Mode"
"CHR_BD2";"0025589184_j";"全国制覇モ一ド";"National Championship Mode"
"CHR_BD2";"0025877184_j";"北海道
東北
松野鶴子
赤井ウメ
年齢 24
年齢 76
OL
産婆
強 ☆☆
強 ☆☆☆
性格 普通
性格 普通
対戦しますか?
対戦相手を選んでください";"Hokkaido
Tohoku
Tsuruko Matsuno
Ume Akai
Age: 24
Age: 76
Office Lady
Midwife
Skill: ☆☆
Skill: ☆☆☆
Type: Normal
Type: Normal
Challenge them?
Choose your opponent."
"CHR_BD2";"0025944000_j";"北関東
南関東
藤田峰男
橋本あやめ
年齢 45
年齢 13
サラリーマン
中学生
強 ☆☆☆
強 ☆
性格 弱気
性格 弱気";"North Kanto
South Kanto
Fujita Mineo
Ayame Hashimoto
Age: 45
Age: 13
Salaryman
JHS student
Skill: ☆☆☆
Skill: ☆
Type: Cautious
Type: Cautious"
"CHR_BD2";"0026010816_j";"甲信越
東海
丹波長助
萩尾望
年齢 34
年齢 26
漁師
若女将
強 ☆☆
強 ☆☆
性格 弱気
性格 普通";"Koshin'etsu
Tokai
Chousuke Tanba
Nozomi Hagio
Age: 34
Age: 26
Fisherman
Young Proprietress
Skill: ☆☆
Skill: ☆☆
Type: Cautious
Type: Normal"
"CHR_BD2";"0026077632_j";"北陸
近畿
桜井蒔雄
鈴木雁之助
年齢 16
年齢 38
高校生
デザイナー
強 ☆
強 ☆☆☆
性格 弱気
性格 弱気";"Hokuriku
Kinki
Makio Sakurai
Gannosuke Suzuki
Age: 16
Age: 38
HS Student
Designer
Skill: ☆
Skill: ☆☆☆
Type: Cautious
Type: Cautious"
"CHR_BD2";"0026144448_j";"中国
四国
坂田菊道
鹿野紅夫
年齢 84
年齢 24
隠居の身
フリーター
強 ☆
強 ☆☆☆
性格 弱気
性格 普通";"Chugoku
Shikoku
Kikumichi Sakata
Kuro Shikano
Age: 84
Age: 24
Retired
Part-time worker
Skill: ☆
Skill: ☆☆☆
Type: Cautious
Type: Normal
"
"CHR_BD2";"0026211264_j";"九州
沖縄
小柳道子
鳳桐子
年齢 41
年齢 19
主婦
サーファー
強 ☆☆
強 ☆
性格 強気
性格 普通";"Kyushu
Okinawa
Michiko Koyanagi
Kiriko Otori
Age: 41
Age: 19
Hosewife
Surfer
Skill: ☆☆
Skill: ☆
Type: Stubborn
Type: Normal
"
"CHR_BD2";"0026278080_j";"北海道地区代表。日曜日は
家族で花札するのがきまり。
はい
東北地区代表。陽気のいい日
は孫と花札するのが楽しみ。
いいえ";"Representative of Hokkaido region. She plays
hanafuda with her family every Sunday.
Yes
Representatiove of Tohoku region. Enjoys playing
hanafuda with her grandchildren when they visit.
No"
"CHR_BD2";"0026344896_j";"北関東地区代表。会社で辛い
毎日で花札だけが憩いの場。
南関東地区代表。毎日朝線に
いそしむスポーツ少女。";"Representative of North Kanto region. Plays
hanafuda to relax after a day of hard work.
Representative of South Kanto region. Highly
competitive girl who practices every morning."
"CHR_BD2";"0026411712_j";"甲信越地区代表。競馬と
花札が大好き。
東海地区代表。20代続いた
名家の跡取り。";"Representative of Koshin'etsu region. Loves
horse races and hanafuda games.
Representative of Tokai region. Heiress to a
wealthy family that existed for 20 generations."
"CHR_BD2";"0026478528_j";"北陸地区代表。お祭好きの
賑やかな性格。
近畿地区代表。夜型人間で計
算高いデザイナー。";"Representative of Hokuriku region. Cheerful guy
who likes festivals.
Representative of Kinki region. He's a night owl
and a meticulous designer."
"CHR_BD2";"0026545344_j";"中国地区代表。無類の酒飲み
で、菊に盃の札が大好き。
四国地区代表。地元意識が強
く、お好み焼きが大好物。";"Representative of Chugoku region. An avid
drinker, his favourite card is ""sake cup"".
Representative of Shikoku region. He loves his
hometown and okonomiyaki."
"CHR_BD2";"0026612160_j";"九州地区代表。ペットショッ
プにとめる。猫が好き。
沖縄地区代表。サーフィンと
花嫁、そして花札も修業中。";"Representative of Kyushu region. She's a cat lover
and works at a pet shop.
Representative of Okinawa region. Surfer, future
bride AND a hanafuda player!"
"CHR_BD2";"0026678976_j";"あと5勝で制覇
あと4勝で制覇
あと3勝で制覇
あと2勝で制覇
あと1勝で制覇
制覇";"5 victories to conquer.
4 victories to conquer.
3 victories to conquer.
2 victories to conquer.
1 victory to conquer.
Conquered."
"CHR_BD2";"0027148480_j";"自分の地域を選んでください
全国制覇モ一ド";"Select the region you want to represent.
National Championship Mode"
"CHR_BD2";"0028238272_j";"北海道地区代表。日曜日は
家族で花札するのがきまり。
はい
東北地区代表。陽気のいい日
は孫と花札するのが楽しみ。
いいえ";"Representative of Hokkaido region. She plays
hanafuda with her family every Sunday.
Yes
Representatiove of Tohoku region. Enjoys playing
hanafuda with her grandchildren when they visit.
No"
"CHR_BD2";"0028305088_j";"北関東地区代表。会社で辛い
毎日で花札だけが憩いの場。
南関東地区代表。毎日朝線に
いそしむスポーツ少女。";"Representative of North Kanto region. Plays
hanafuda to relax after a day of hard work.
Representative of South Kanto region. Highly
competitive girl who practices every morning."
"CHR_BD2";"0028371904_j";"甲信越地区代表。競馬と
花札が大好き。
東海地区代表。20代続いた
名家の跡取り。";"Representative of Koshin'etsu region. Loves
horse races and hanafuda games.
Representative of Tokai region. Heiress to a
wealthy family that existed for 20 generations."
"CHR_BD2";"0028438720_j";"北陸地区代表。お祭好きの
賑やかな性格。
近畿地区代表。夜型人間で計
算高いデザイナー。";"Representative of Hokuriku region. Cheerful guy
who likes festivals.
Representative of Kinki region. He's a night owl
and a meticulous designer."
"CHR_BD2";"0028505536_j";"中国地区代表。無類の酒飲み
で、菊に盃の札が大好き。
四国地区代表。地元意識が強
く、お好み焼きが大好物。";"Representative of Chugoku region. An avid
drinker, his favourite card is ""sake cup"".
Representative of Shikoku region. He loves his
hometown and okonomiyaki."
"CHR_BD2";"0028572352_j";"九州地区代表。ペットショッ
プにとめる。猫が好き。
沖縄地区代表。サーフィンと
花嫁、そして花札も修業中。";"Representative of Kyushu region. She's a cat lover
and works at a pet shop.
Representative of Okinawa region. Surfer, future
bride AND a hanafuda player!"
"CHR_BD2";"0028639168_j";"あと5勝で制覇
あと4勝で制覇
あと3勝で制覇
あと2勝で制覇
あと1勝で制覇
制覇";"5 victories to conquer.
4 victories to conquer.
3 victories to conquer.
2 victories to conquer.
1 victory to conquer.
Conquered."
"CHR_BD2";"0028706880_j";"全国制覇モ一ド";"National Championship Mode"
"CHR_BD2";"0028994880_j";"○ボタンを押してください";"Press the ○ button"
"CHR_BD2";"0029061696_j";"全国制覇モ一ド";"National Championship Mode"
"CHR_BD2";"0030841536_j";"あと5勝で制覇
あと4勝で制覇
あと3勝で制覇
あと2勝で制覇
あと1勝で制覇
制覇";"5 victories to conquer.
4 victories to conquer.
3 victories to conquer.
2 victories to conquer.
1 victory to conquer.
Conquered."
"CHR_BD2";"0030908480_j";"全国制覇モ一ド";"National Championship Mode"
"CHR_BD2";"0031196480_j";"○ボタンを押してください";"Press the × button"
